AI #1,AI #2
3.2207973,2.50094581
3.19079113,2.50651765
3.24092,2.53654027
3.18838048,2.568617
3.14496279,2.59283233
3.095546,2.615185
3.04319286,2.62888145
2.98849487,2.63611317
2.91762948,2.64139986
2.82320619,2.65356231
2.72450972,2.65378141
2.61132813,2.677794
2.51451635,2.694679
2.39789414,2.71086264
2.29070067,2.72046113
2.19471622,2.664547
2.116351,2.64978766
2.052016,2.626334
1.97876787,2.60121465
1.916148,2.57489014
1.86422765,2.5506475
1.81397283,2.52947283
1.771399,2.51136613
1.74520063,2.49920368
1.72406983,2.48608255
1.73138368,2.46071672
1.71201694,2.45471787
1.707141,2.41705275
1.716756,2.40582156
1.72652972,2.42777419
1.78345728,2.442528
1.82213593,2.45132113
1.86994731,2.45988965
1.91603291,2.47129583
1.97602856,2.4869318
2.052153,2.50575066
2.13419461,2.5169816
2.22738481,2.51205087
2.328634,2.50706
2.41012216,2.49410868
2.47432017,2.48335981
2.5502913,2.45945668
2.69361067,2.46315479
2.79173183,2.45874453
2.85359049,2.45946217
2.917098,2.46320963
2.98241353,2.4733448
3.04076028,2.48520041
3.0882597,2.492761
3.129086,2.49729729
3.16416526,2.49498534
3.1893394,2.4898355
3.19903636,2.489441
3.22694421,2.49542356
3.23242831,2.49783421
3.22925067,2.51736522
3.21166444,2.52643228
3.18440866,2.57609534
3.15507078,2.59603739
3.09680629,2.62123871
3.04302859,2.636672
2.974771,2.64455
2.88842869,2.65120649
2.798202,2.65692067
2.71066546,2.65964913
2.60926819,2.671888
2.47539926,2.692159
2.38609338,2.70169163
2.28438926,2.68941951
2.16008067,2.664903
2.08610916,2.64032054
2.019709,2.61382627
1.96623564,2.600571
1.921621,2.5780623
1.86779964,2.552647
1.81804347,2.52918243
1.77581477,2.513667
1.74338174,2.49857378
1.72431636,2.480604
1.71223617,2.44995141
1.725412,2.439016
1.716756,2.42650318
1.718016,2.40993047
1.73829758,2.432672
1.77491081,2.46066213
1.82517648,2.44534945
1.86294568,2.46656251
1.91395652,2.47326279
1.98588991,2.48958874
2.063932,2.50629854
2.14827442,2.51544762
2.23218942,2.51554084
2.31137657,2.51024842
2.40031576,2.47896051
2.538485,2.47104383
2.6054194,2.46781158
2.67887878,2.458279
2.76611948,2.4572928
2.83909416,2.46127
2.896652,2.42968082
2.96406031,2.46907163
3.02038,2.48339248
3.07474947,2.49437165
3.12041879,2.49986124
3.15893316,2.504792
3.18616962,2.49899244
3.205282,2.49493051
3.21960855,2.49731374
3.23056555,2.50166917
3.22117,2.51648855
3.22037554,2.52489829
3.19834614,2.5577476
3.16402841,2.57750344
3.14539027,2.623589
3.08927321,2.62775826
3.01712036,2.63915372
2.937681,2.64671421
2.84262776,2.65139842
2.73878145,2.66186237
2.629758,2.67657232
2.52359438,2.69229031
2.42139721,2.6978128
2.32373619,2.70649076
2.22365952,2.66191721
2.09061265,2.65677524
2.027883,2.6149385
1.95800412,2.5761776
1.90186536,2.57204676
1.86403036,2.545092
1.80292261,2.52767038
1.77340412,2.51393
1.74631274,2.5012033
1.72590506,2.48644972
1.71449876,2.46574068
1.70900381,2.44556856
1.70585358,2.396185
1.72201538,2.43211865
1.74907935,2.42603755
1.778554,2.43524146
1.80816555,2.43967915
1.83610618,2.45277286
1.90584278,2.463571
1.95616877,2.489145
2.034156,2.49628639
2.08065248,2.50706
2.161916,2.51509166
2.25496936,2.5138042
2.3415854,2.506337
2.434447,2.49115014
2.53677583,2.50778317
2.63121533,2.47928357
2.723277,2.52771974
2.80839229,2.45564914
2.870678,2.4598403
2.95276356,2.47339964
3.00410867,2.473071
3.072454,2.47022223
3.10679913,2.50180054
3.14486432,2.50765157
3.17836022,2.50676417
3.20048833,2.501176
3.21645832,2.50127459
3.22839069,2.50341129
3.23412657,2.5101335
3.232264,2.51569414
3.205019,2.55031872
3.17041087,2.57247949
3.14555454,2.61412215
3.0785625,2.609323
3.03875518,2.58358455
2.99845481,2.65087247
2.92321754,2.64528966
2.82947922,2.65484977
2.728153,2.66342926
2.629402,2.67665458
2.534294,2.6907618
2.44319081,2.70123148
2.34332752,2.698766
2.24852657,2.68357944
2.15364337,2.64805651
2.04667449,2.60280347
1.99828517,2.61199379
1.94555128,2.59134221
1.89289141,2.56691885
1.84810424,2.545607
1.7883606,2.52855778
1.761187,2.5066
1.73171234,2.49487567
1.71823514,2.4740572
1.71000361,2.45211554
1.70693839,2.438786
1.7068398,2.42820144
1.71538627,2.42626214
1.73604047,2.44628072
1.76673126,2.4445715
1.78445721,2.45581341
1.85075045,2.44131732
1.88519955,2.46173024
1.9291321,2.470359
1.99668264,2.47430372
2.064918,2.4963
2.139632,2.51539278
2.20378876,2.51537657
2.2808063,2.5136342
2.35759377,2.50351
2.44282937,2.489145
2.53687429,2.47359681
2.62990046,2.46094155
2.723277,2.46184
2.80553246,2.47389269
2.87160945,2.46364784
2.953788,2.47101641
3.00471139,2.47887826
3.06985164,2.492465
3.11403084,2.49779034
3.1501565,2.51409459
3.199957,2.492498
3.1944344,2.49128723
3.21517634,2.49049282
3.228429,2.4969027
3.23459244,2.50964046
3.23197365,2.52566528
3.21213031,2.54826427
3.17638254,2.57184958
3.13052678,2.597818
3.07086515,2.65380883
3.01265526,2.65027523
2.917657,2.64545417
2.85148668,2.653502
2.75612116,2.66052
2.63641453,2.675723
2.53591013,2.690926
2.42284346,2.70175719
2.315617,2.696213
2.20497751,2.67213464
2.12451124,2.64922047
2.05530334,2.62784052
1.9819454,2.59743452
1.94170535,2.57520247
1.87763369,2.55705738
1.81862962,2.530322
1.78691423,2.513963
1.74883282,2.496492
1.73017836,2.478221
1.70716846,2.46274948
1.71160614,2.44113088
1.7068398,2.427051
1.7177968,2.42414737
1.74036849,2.431023
1.78014278,2.44019961
1.82356584,2.47284079
1.869635,2.448883
1.92127037,2.49304032
1.99810708,2.460251
2.07687235,2.50574517
2.126015,2.55426335
2.22086525,2.53426647
2.316406,2.520603
2.412971,2.494547
2.5066545,2.47953558
2.62036228,2.46518183
2.70584154,2.45782685
2.782747,2.45614219
2.86366558,2.45685434
2.936421,2.47430372
2.99397326,2.467072
3.10357761,2.49775743
3.12030935,2.50454545
3.16583633,2.49241042
3.17934632,2.52822924
3.2157023,2.50351
3.21159339,2.508079
3.23604965,2.507093
3.235458,2.51281238
3.23300362,2.52193975
3.21747184,2.53914237
3.1821897,2.56335783
3.140854,2.59220243
3.09228635,2.62395072
3.038843,2.5958457
2.968361,2.65600038
2.93906426,2.64597464
2.83610272,2.65152979
2.74089074,2.65613723
2.64487886,2.69276142
2.53887939,2.68436837
2.41012239,2.70197344
2.28058171,2.690707
2.179924,2.66638756
2.09694028,2.64200258
2.01774764,2.61597943
1.94890964,2.59017539
1.89165878,2.55141449
1.83238077,2.55179787
1.77208936,2.52763748
1.74338174,2.52733612
1.73024416,2.49341846
1.71730375,2.48019314
1.71574235,2.46759248
1.72952092,2.42814684
1.71204436,2.42672229
1.73730052,2.43069434
1.76867068,2.43540049
1.81068575,2.442391
1.86100626,2.45227981
1.9162575,2.464634
1.98252058,2.47591972
2.04012227,2.49654126
2.11270213,2.51235223
2.20478582,2.512681
2.29044318,2.51331115
2.39552188,2.48720574
2.494503,2.48566079
2.59357762,2.4720192
2.68947434,2.46277118
2.78159642,2.456197
2.856253,2.45702982
2.924149,2.46293569
2.99082327,2.477755
3.05101633,2.49844766
3.10147381,2.53914237
3.13948417,2.507367
3.19270873,2.51711869
3.19388652,2.503751
3.229574,2.519058
3.23856425,2.51254416
3.23401165,2.518302
3.21700621,2.52804828
3.21838951,2.53659487
3.18816137,2.55349636
3.14792132,2.57990313
3.1011343,2.60926819
3.04690742,2.62789536
2.98737717,2.63466668
2.91719651,2.69094253
2.86403537,2.63574338
2.74919081,2.66954327
2.67142248,2.66997075
2.56267285,2.68339324
2.44624782,2.695216
2.3456943,2.68775415
2.26788783,2.6831522
2.16394854,2.66342926
2.08790064,2.63890719
2.01336479,2.61504245
1.950882,2.58990145
1.89187789,2.5647
1.84098756,2.542857
1.79372966,2.50380564
1.75212,2.52374768
1.749441,2.49831629
1.66644907,2.485973
1.71308529,2.46942234
1.69895065,2.47931647
1.6968962,2.43455672
1.73302722,2.42291474
1.72324252,2.432705
1.76830912,2.43461156
1.81890357,2.44170618
1.86845708,2.451732
1.92466712,2.46466136
1.98733079,2.4810915
2.0510354,2.49562073
2.134402,2.50108218
2.22121048,2.520077
2.323013,2.5072298
2.41069746,2.49328685
2.51424241,2.48909569
2.62688184,2.47619367
2.73954844,2.46055245
2.81043029,2.455978
2.883443,2.45836115
2.95743132,2.46940041
3.023174,2.48717833
3.080502,2.49992681
3.13066387,2.507668
3.16685534,2.50906515
3.19903636,2.53130817
3.224742,2.492202
3.23667431,2.51199627
3.23325562,2.51176071
3.23577023,2.51610518
3.233031,2.54018331
3.183817,2.542857
3.16402841,2.57056761
3.129119,2.59647
3.08272624,2.61863637
3.0201335,2.63488054
2.939352,2.64326262
2.84739423,2.65035748
2.74541044,2.70349956
2.62532043,2.66884756
2.534179,2.693441
2.45015955,2.71507025
2.324739,2.69958234
2.209826,2.67991424
2.10556912,2.66415238
2.04847145,2.63755941
1.995976,2.60557556
